shelfmark,iiif_url,url,orig_shelfmark
Bodl. MS heb. g 3/7,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-3-7.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_216#MS_Heb_g_3,MS. Heb. g. 3/7
Bodl. MS heb. g 2/32,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-32.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/32
Bodl. MS heb. g 12/38,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-38.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/38
Bodl. MS heb. g 2/24,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-24.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/24
Bodl. MS heb. g 2/3,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-3.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/3
Bodl. MS heb. g 2/73,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-73.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/73
Bodl. MS heb. g 12/1,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/1
Bodl. MS heb. g 6/30,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-30.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/30
Bodl. MS heb. g 6/4,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-4.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/4
Bodl. MS heb. g 5/20,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-20.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/20
Bodl. MS heb. g 8/5,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-5.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/5
Bodl. MS heb. g 8/55,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-55.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part8,MS. Heb. g. 8/55
Bodl. MS heb. g 5/1,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/1
Bodl. MS heb. g 2/49,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-49.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/49
Bodl. MS heb. g 8/14,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-14.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/14
Bodl. MS heb. g 12/43,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-43.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/43
Bodl. MS heb. g 8/43,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-43.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part5,MS. Heb. g. 8/43
Bodl. MS heb. g 12/14,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-14.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/14
Bodl. MS heb. g 2/69,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-69.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/69
Bodl. MS heb. g 8/34,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-34.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part4,MS. Heb. g. 8/34
Bodl. MS heb. g 12/34,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-34.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/34
Bodl. MS heb. g 8/63,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-63.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part9,MS. Heb. g. 8/63
Bodl. MS heb. g 12/22,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-22.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/22
Bodl. MS heb. g 2/28,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-28.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/28
Bodl. MS heb. g 6/8,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-8.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/8
Bodl. MS heb. g 8/22,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-22.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part3,MS. Heb. g. 8/22
Bodl. MS heb. g 8/59,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-59.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part8,MS. Heb. g. 8/59
Bodl. MS heb. g 8/9,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-9.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/9
Bodl. MS heb. g 2/53,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-53.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/53
Bodl. MS heb. g 6/10,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-10.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/10
Bodl. MS heb. g 5/16,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-16.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/16
Bodl. MS heb. g 8/18,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-18.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part3,MS. Heb. g. 8/18
Bodl. MS heb. g 2/45,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-45.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/45
Bodl. MS heb. g 12/18,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-18.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/18
Bodl. MS heb. g 2/12,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-12.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/12
Bodl. MS heb. g 2/13,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-13.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/13
Bodl. MS heb. g 12/19,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-19.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/19
Bodl. MS heb. g 8/19,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-19.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part3,MS. Heb. g. 8/19
Bodl. MS heb. g 2/44,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-44.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/44
Bodl. MS heb. g 5/17,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-17.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/17
Bodl. MS heb. g 2/52,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-52.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/52
Bodl. MS heb. g 6/11,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-11.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/11
Bodl. MS heb. g 8/58,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-58.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part8,MS. Heb. g. 8/58
Bodl. MS heb. g 8/8,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-8.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/8
Bodl. MS heb. g 8/23,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-23.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part3,MS. Heb. g. 8/23
Bodl. MS heb. g 6/9,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-9.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/9
Bodl. MS heb. g 2/29,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-29.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/29
Bodl. MS heb. g 12/23,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-23.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/23
Bodl. MS heb. g 8/62,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-62.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part9,MS. Heb. g. 8/62
Bodl. MS heb. g 12/35,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-35.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/35
Bodl. MS heb. g 3/12,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-3-12.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_216#MS_Heb_g_3,MS. Heb. g. 3/12
Bodl. MS heb. g 2/68,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-68.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/68
Bodl. MS heb. g 8/35,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-35.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part4,MS. Heb. g. 8/35
Bodl. MS heb. g 12/15,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-15.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/15
Bodl. MS heb. g 8/42,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-42.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part5,MS. Heb. g. 8/42
Bodl. MS heb. g 12/42,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-42.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/42
Bodl. MS heb. g 2/48,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-48.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/48
Bodl. MS heb. g 8/15,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-15.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/15
Bodl. MS heb. g 12/54,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-54.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/54
Bodl. MS heb. g 8/4,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-4.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/4
Bodl. MS heb. g 8/54,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-54.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part8,MS. Heb. g. 8/54
Bodl. MS heb. g 6/5,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-5.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/5
Bodl. MS heb. g 5/21,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-21.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/21
Bodl. MS heb. g 2/72,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-72.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/72
Bodl. MS heb. g 6/31,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-31.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/31
Bodl. MS heb. g 2/2,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/2
Bodl. MS heb. g 2/25,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-25.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/25
Bodl. MS heb. g 12/39,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-39.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/39
Bodl. MS heb. g 2/33,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-33.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/33
Bodl. MS heb. g 3/6,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-3-6.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_216#MS_Heb_g_3,MS. Heb. g. 3/6
Bodl. MS heb. g 6/27,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-27.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/27
Bodl. MS heb. g 8/39,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-39.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part5,MS. Heb. g. 8/39
Bodl. MS heb. g 2/64,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-64.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/64
Bodl. MS heb. g 2/80,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-80.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/80
Bodl. MS heb. g 8/32,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-32.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part4,MS. Heb. g. 8/32
Bodl. MS heb. g 12/32,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-32.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/32
Bodl. MS heb. g 8/65,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-65.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part9,MS. Heb. g. 8/65
Bodl. MS heb. g 2/38,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-38.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/38
Bodl. MS heb. g 2/9,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-9.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/9
Bodl. MS heb. g 12/24,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-24.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/24
Bodl. MS heb. g 8/24,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-24.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part3,MS. Heb. g. 8/24
Bodl. MS heb. g 2/79,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-79.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/79
Bodl. MS heb. g 6/16,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-16.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/16
Bodl. MS heb. g 2/55,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-55.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/55
Bodl. MS heb. g 12/49,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-49.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/49
Bodl. MS heb. g 5/10,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-10.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/10
Bodl. MS heb. g 2/43,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-43.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/43
Bodl. MS heb. g 2/14,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-14.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/14
Bodl. MS heb. g 8/49,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-49.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part5,MS. Heb. g. 8/49
Bodl. MS heb. g 2/63,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-63.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/63
Bodl. MS heb. g 6/20,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-20.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/20
Bodl. MS heb. g 3/1,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-3-1.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_216#MS_Heb_g_3,MS. Heb. g. 3/1
Bodl. MS heb. g 5/30,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-30.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/30
Bodl. MS heb. g 2/34,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-34.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/34
Bodl. MS heb. g 8/69,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-69.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part9,MS. Heb. g. 8/69
Bodl. MS heb. g 2/22,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-22.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/22
Bodl. MS heb. g 2/5,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-5.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/5
Bodl. MS heb. g 12/28,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-28.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/28
Bodl. MS heb. g 12/7,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-7.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/7
Bodl. MS heb. g 6/36,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-36.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/36
Bodl. MS heb. g 2/75,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-75.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/75
Bodl. MS heb. g 8/28,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-28.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part4,MS. Heb. g. 8/28
Bodl. MS heb. g 6/2,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-6-2.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_218#MS_Heb_g_6,MS. Heb. g. 6/2
Bodl. MS heb. g 5/26,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-26.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/26
Bodl. MS heb. g 8/53,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-53.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part7,MS. Heb. g. 8/53
Bodl. MS heb. g 8/3,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-3.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/3
Bodl. MS heb. g 2/59,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-2-59.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_215#MS_Heb_g_2,MS. Heb. g. 2/59
Bodl. MS heb. g 5/7,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-5-7.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_217#MS_Heb_g_5,MS. Heb. g. 5/7
Bodl. MS heb. g 12/53,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-12-53.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_214#MS_Heb_g_12,MS. Heb. g. 12/53
Bodl. MS heb. g 8/12,https://princetongenizalab.github.io/iiif/bodleian/g/ms-heb-g-8-12.json,https://genizah.bodleian.ox.ac.uk/catalog/volume_219#MS_Heb_g_8-part2,MS. Heb. g. 8/12
